Phi [deg],SUM,DIFF,DIFF-SUM
-90,-72.6,-79.0,6.400000000000006
-96,-71.8,-80.2,8.400000000000006
-102,-71.2,-79.0,7.799999999999997
-108,-72.0,-76.8,4.799999999999997
-114,-73.0,-74.2,1.2000000000000028
-120,-74.6,-72.4,-2.1999999999999886
-126,-71.0,-72.4,1.4000000000000057
-132,-65.8,-70.0,4.200000000000003
-138,-69.0,-74.4,5.400000000000006
-144,-67.8,-72.2,4.400000000000006
-150,-65.2,-74.8,9.599999999999994
-156,-63.4,-76.2,12.800000000000004
-162,-64.0,-74.2,10.200000000000003
-168,-65.6,-74.4,8.800000000000011
-174,-63.4,-72.8,9.399999999999999
-180,-64.0,-72.6,8.599999999999994
-186,-62.8,-71.6,8.799999999999997
-192,-66.4,-69.6,3.1999999999999886
-198,-64.2,-68.4,4.200000000000003
-204,-66.2,-68.4,2.200000000000003
-210,-66.4,-66.6,0.19999999999998863
-216,-66.4,-66.8,0.3999999999999915
-222,-68.4,-67.2,-1.2000000000000028
-228,-71.4,-68.8,-2.6000000000000085
-234,-70.8,-71.6,0.7999999999999972
-240,-70.2,-73.8,3.5999999999999943
-246,-67.0,-73.2,6.200000000000003
-252,-66.2,-70.0,3.799999999999997
-258,-67.0,-69.0,2.0
-264,-67.4,-67.0,-0.4000000000000057
-270,-68.6,-68.2,-0.3999999999999915
